period,l.r.t,loc,tree_id,row,tree,geno,psi,li-cor,moisture,gld,ht,obs,photo,cond,trans
2,10829,1,12,8,29,6,1,13,6.6,38.21,178,13,7.085611,-0.01733,-0.35284
2,11404,1,13,14,4,1,6,12,7,47.22,218,12,7.914799,-0.02927,-0.6356
2,11209,1,14,12,9,2,2,14,8.5,44.38,154,14,5.418269,-0.07417,-1.57075
2,11313,1,15,13,13,3,3,15,4.1,35.58,245,15,8.746869,-0.07537,-1.23291
2,11219,1,16,12,19,4,3,16,4.6,44.72,243,16,9.594552,0.009035,0.20568
2,11323,1,17,13,23,5,2,17,7.3,36.21,222,17,12.05277,0.017414,0.378128
2,11227,1,18,12,27,6,2,18,5.6,31.55,176,18,18.12727,0.027456,0.491771
2,11804,1,19,18,4,1,5,24,8.3,43.36,256,24,8.965014,-0.04586,-1.12716
2,11808,1,20,18,8,2,4,23,9.9,43.9,222,23,7.106665,-0.04515,-1.08351
2,11912,1,21,19,12,3,4,22,6.6,34.31,226,22,15.13018,-0.08181,-1.63337
2,11817,1,22,18,17,4,2,21,6.2,38.88,182,21,6.422995,-0.02025,-0.37436
2,11824,1,23,18,24,5,3,20,5.6,38.83,202,20,11.08845,-0.00621,-0.11751
2,11829,1,24,18,29,6,4,19,3.7,19.62,109,19,10.23498,-0.03879,-0.60645
2,20403,2,25,4,3,1,4,1,6.6,37.39,165,1,3.208262,1.247195,9.818076
2,20309,2,26,3,9,2,2,3,7.9,33.84,182,3,2.154298,0.862612,9.166711
2,20212,2,27,2,12,3,3,4,5.6,16.36,109,4,9.364309,0.799957,9.117109
2,20417,2,28,4,17,4,1,5,5.4,37.1,179,5,5.039087,0.993157,9.70638
2,20224,2,29,2,24,5,5,6,7.5,20.6,132,6,3.652692,0.88118,9.639967
2,20328,2,30,3,28,6,2,7,7.5,24.62,130,7,3.789643,1.023837,9.813321
2,20702,2,31,7,2,6,1,13,7.7,44.14,172,13,9.956433,0.262839,5.442265
2,20709,2,32,7,9,5,4,12,5.6,26.24,134,12,14.38353,0.370135,6.764792
2,20812,2,33,8,12,4,2,11,7.1,30.29,161,11,16.00591,0.442258,6.95895
2,20918,2,34,9,18,3,1,10,5.2,28.78,191,10,9.982862,0.526052,7.869858
2,20724,2,35,7,24,2,1,9,5,13.37,120,9,9.99262,0.922712,10.03934
2,20829,2,36,8,29,1,3,8,6.8,15.01,115,8,14.87932,0.934495,9.748036
2,21404,2,37,14,4,1,1,14,8.9,30.11,194,14,3.459782,0.870212,9.726879
2,21309,2,38,13,9,2,1,15,6.6,24.71,162,15,6.655969,1.343202,10.83029
2,21212,2,39,12,12,3,2,16,5.2,37.01,197,16,11.41059,0.378106,7.278642
2,21219,2,40,12,19,4,1,17,8.3,26.99,145,17,14.55228,0.417907,8.049113
2,21424,2,41,14,24,5,1,18,7.3,29.57,176,18,11.36851,0.330042,7.026325
2,21429,2,42,14,29,6,2,19,7.7,28.73,144,19,15.17672,0.391386,7.147342
2,21902,2,43,19,2,6,2,25,11.8,37.72,212,25,18.0566,0.352908,6.715784
2,21707,2,44,17,7,5,4,24,8.3,29.19,181,24,13.08987,0.341517,6.666312
2,21814,2,45,18,14,4,1,23,5.8,22.99,128,23,5.794823,0.298249,6.212406
2,21919,2,46,19,19,3,2,22,7.5,23.26,117,22,11.3974,0.436532,7.858875
2,21822,2,47,18,22,2,2,21,6.8,16.3,101,21,8.690908,1.273258,10.78412
2,21928,2,48,19,28,1,3,20,4.4,15.47,113,20,3.844678,1.269897,10.71317
3,10404,1,1,4,4,1,5,1,0,44.91,214,1,5.577835291,1.055749342,6.305051494
3,10407,1,2,4,7,2,6.5,2,0,39.47,238,2,6.05408344,0.165965534,2.6493463
3,10214,1,3,2,14,3,7,2,0,33.94,165,2,10.09972335,0.123187777,2.147500568
3,10418,1,4,4,18,4,5.5,3,0,41.04,210,3,9.049266252,0.185086124,2.648608411
3,10224,1,5,2,24,5,9,1,1.1,40.76,215,1,10.99398135,0.104954217,1.923597076
3,10228,1,6,2,28,6,7,4,0,38.74,181,4,13.23119707,0.22736862,2.877347667
3,10703,1,7,7,3,1,10,3,0,56.65,317,3,6.767038661,0.204046522,2.86791304
3,10707,1,8,7,7,2,5.5,4,0,52.57,304,4,0.97478069,0.850503623,6.168045942
3,10714,1,9,7,14,3,6,5,0,43.73,230,5,5.152721375,0.110908708,1.546679676
3,10917,1,10,9,17,4,4,8,0,32.23,158,8,10.67496893,0.683375195,6.047092902
3,10724,1,11,7,24,5,3.5,6,0,41.47,144,6,10.75746632,0.140956588,2.131747297
3,10829,1,12,8,29,6,5,7,3.3,49.33,224,7,1.843579058,0.066133058,1.234728225
3,11404,1,13,14,4,1,3,1,0,54.84,272,1,10.24445276,0.260960031,3.884958926
3,11209,1,14,12,9,2,2,9,0,46.79,196,9,10.34237675,0.397762125,4.494873228
3,11313,1,15,13,13,3,2.5,10,1.1,43.32,319,10,3.668430029,0.049007535,0.923809221
3,11219,1,16,12,19,4,2.5,11,0,52.53,282,11,13.46731154,0.130624872,2.018520434
3,11323,1,17,13,23,5,4,12,1.1,50.23,291,12,3.617937198,-0.001436574,-0.027393071
3,11227,1,18,12,27,6,4,13,0,39.6,176,13,12.56769568,0.0438163,0.730926178
3,11804,1,19,18,4,1,3,2,0,44.26,311,2,4.538578936,0.154737656,3.015908258
3,11808,1,20,18,8,2,2,3,4.8,48.72,234,3,16.08478282,0.189063609,2.895750012
3,11912,1,21,19,12,3,3.5,17,2.6,45.09,280,17,4.038384649,-0.016564832,-0.324219201
3,11817,1,22,18,17,4,6,16,0,41.54,241,16,7.109365978,-0.002128467,-0.036178617
3,11824,1,23,18,24,5,4,15,0,46.24,248,15,10.50526188,0.053079585,0.947510533
3,11829,1,24,18,29,6,3.5,14,0,22.87,112,14,8.947212895,0.088987724,1.102756588
3,20403,2,25,4,3,1,6.5,1,0,39.99,192,1,2.800530608,1.111203865,5.371774139
3,20309,2,26,3,9,2,4,2,1.5,36.55,196,2,6.616506684,1.053293363,5.135761065
3,20212,2,27,2,12,3,8.5,3,0,20.11,112,3,7.968661917,0.592413585,3.86960453
3,20417,2,28,4,17,4,4.5,4,0,34.99,224,4,2.710383914,1.145345974,5.165768648
3,20224,2,29,2,24,5,5,5,0,22.95,142,5,10.07066208,0.668547325,4.206296658
3,20328,2,30,3,28,6,3.5,6,0,28.94,160,6,9.819347842,1.250040539,5.144115018
3,20702,2,31,7,2,6,6,12,0,45.06,213,12,5.838037063,1.111196203,5.428734502
3,20709,2,32,7,9,5,8.5,11,0,30.99,149,11,4.230190478,0.921394145,4.73617699
3,20812,2,33,8,12,4,2,10,0,35.2,182,10,14.34564396,0.364131568,3.131658405
3,20918,2,34,9,18,3,2,9,0,35.66,192,9,7.530485223,1.031409053,5.254031976
3,20724,2,35,7,24,2,1.5,8,0,14.44,122,8,5.681305322,0.450656539,3.889384191
3,20829,2,36,8,29,1,3.5,7,0,17.85,137,7,3.841297077,1.3556185,5.753050012
3,21404,2,37,14,4,1,13.5,13,0,36.49,236,13,4.760416366,0.479493242,3.866561846
3,21309,2,38,13,9,2,4,14,0,33.05,202,14,4.904030205,1.233104351,5.647353884
3,21212,2,39,12,12,3,2.5,15,0,47.23,245,15,5.537260663,0.795544921,4.495268623
3,21219,2,40,12,19,4,3,16,0,32.94,143,16,12.06755729,0.486526911,3.626962601
3,21424,2,41,14,24,5,3,17,0,39.57,210,17,8.590650657,0.391464928,3.331170892
3,21429,2,42,14,29,6,4,18,0,32.4,149,18,19.94111948,0.56676004,3.633102044
3,21902,2,43,19,2,6,4,24,0,47.2,259,24,3.056954924,0.69540505,3.657979423
3,21707,2,44,17,7,5,7,23,0,34.91,219,23,4.272127015,0.736686228,4.020746984
3,21814,2,45,18,14,4,3.5,22,0,17.23,137,22,12.89873847,0.211059732,2.196284726
3,21919,2,46,19,19,3,4,21,0,26.24,137,21,12.31088024,0.201637674,2.36154009
3,21822,2,47,18,22,2,4.5,20,0,17.63,122,20,9.213468451,0.214976054,2.584764813
3,21928,2,48,19,28,1,3.5,19,0,21.16,131,19,17.26984047,0.267606894,2.929662964
